isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description,simple_category,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral,category
9780002005883,0002005883,Gilead,Marilynne Robinson,Fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",2004.0,3.85,247.0,361.0,Gilead,"9780002005883 A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",Fiction,0.7740874886512756,0.0250689480453729,0.0028101904317736,0.0092323189601302,0.1604789495468139,0.0525084361433982,0.0022289452608674,0.0174779128283262,0.010262144729495,0.0322505086660385,0.0079137505963444,0.0044849426485598,0.0019068632973358,0.3932342827320099,0.0075228647328913,0.0037437893915921,0.0236595924943685,0.7426798343658447,0.0177029352635145,0.0095896329730749,0.0086514670401811,0.0203193556517362,0.0353141613304615,0.0174621902406215,0.0219810102134943,0.7053227424621582,0.0268244203180074,0.9391067624092102,Literary & Contemporary
9780002261982,0002261987,Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",2000.0,3.83,241.0,5164.0,Spider's Web: A Novel,"9780002261982 A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",Fiction,0.8832985162734985,0.0024097794666886,0.0047907000407576,0.0203278847038745,0.0654620304703712,0.0035753741394728,0.4401264786720276,0.3199990093708038,0.0202701743692159,0.0242303218692541,0.0058823763392865,0.0034465428907424,0.0061364024877548,0.0065774186514317,0.0181722790002822,0.0045897006057202,0.0022115686442703,0.0033002067357301,0.0028697361703962,0.0084679620340466,0.0099260993301868,0.0038754465058445,0.0434171110391616,0.0008318428299389,0.0032977999653667,0.0249374471604824,0.0202969368547201,0.968702495098114,Mystery & Thriller
9780006178736,0006178731,Rage of angels,Sidney Sheldon,Fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",1993.0,3.93,512.0,29532.0,Rage of angels,"9780006178736 A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",Fiction,0.862983226776123,0.0015157979214563,0.042628638446331,0.0378461964428424,0.0700305625796318,0.0054937223903834,0.0040858574211597,0.0014326183591037,0.0037042668554931,0.0260936599224805,0.0306140203028917,0.0100182378664612,0.0019327364861965,0.0033850215841084,0.3659707009792328,0.0030021942220628,0.0014315716689452,0.0020166095346212,0.0423955917358398,0.0095048183575272,0.0119536332786083,0.0052732867188751,0.0286772549152374,0.001440767198801,0.0008726639207452,0.0097024217247962,0.0022772199008613,0.4781024158000946,Literary & Contemporary
9780006280897,0006280897,The Four Loves,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",2002.0,4.15,170.0,33684.0,The Four Loves,"9780006280897 Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",Nonfiction,0.2343245297670364,0.0015944449696689,0.0112056238576769,0.0151476003229618,0.4754309356212616,0.0826935097575187,0.004918242804706,0.0026036258786916,0.0028870543465018,0.0138058578595519,0.0289242658764123,0.0054652974940836,0.0012422517174854,0.0040448876097798,0.0891337990760803,0.0022562397643923,0.0026959404349327,0.0044312314130365,0.2377756834030151,0.0118582490831613,0.0127486819401383,0.0056439177133142,0.0911853462457656,0.0034007015638053,0.0025377641431987,0.0159329790621995,0.001972644822672,0.7189856171607971,Other
9780006280934,0006280935,The Problem of Pain,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",2002.0,4.09,176.0,37569.0,The Problem of Pain,"9780006280934 ""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",Nonfiction,0.8568076491355896,0.0028118891641497,0.0041112513281404,0.0126558588817715,0.3573809266090393,0.1924636960029602,0.1080954149365425,0.4264003336429596,0.0251012556254863,0.0136993648484349,0.0096281953155994,0.0024239891208708,0.0011778314365074,0.0035247695632278,0.0020576291717588,0.0249664280563592,0.0009801082778722,0.00268663209863,0.0045195654965937,0.0009730193996801,0.4377425611019134,0.0054993811063468,0.0158833283931016,0.0042642159387469,0.0014875258784741,0.0117009254172444,0.0032866722904145,0.9698081612586976,Other
9780006380832,0006380832,Empires of the Monsoon,Richard Hall,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",1998.0,4.41,608.0,65.0,Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,"9780006380832 Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",Nonfiction,0.016271436586976,0.001932170940563,0.003408033400774,0.0256295874714851,0.0994171947240829,0.0011240580352023,0.0107578849419951,0.003856832627207,0.001336361397989,0.0660480037331581,0.0137395933270454,0.0063695344142615,0.0039958613924682,0.003767839865759,0.0043526859953999,0.0013989713042974,0.0028343887533992,0.0017360001802444,0.0019892039708793,0.0012409846531227,0.0040363767184317,0.0020380071364343,0.2001654505729675,0.0024914927780628,0.0017926559085026,0.0433102957904338,0.0107709430158138,0.8253066539764404,Other
9780006470229,000647022X,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",1994.0,4.15,743.0,103.0,The Gap Into Madness: Chaos and Order,"9780006470229 A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",Fiction,0.8450432419776917,0.0017188942292705,0.0095814242959022,0.1345609128475189,0.1715817600488662,0.0121879372745752,0.028180468827486,0.0051602204330265,0.0155076067894697,0.3365463018417358,0.3312591910362243,0.0051049254834651,0.0039194938726723,0.0047860261984169,0.2488356828689575,0.0177716985344886,0.0017525394214317,0.0028360455762594,0.0020728644449263,0.0156532991677522,0.0879089832305908,0.0066488273441791,0.0322564989328384,0.0017900466918945,0.0053709736093878,0.0532710254192352,0.0036063282750546,0.9512789249420166,Other
9780006472612,0006472613,Master of the Game,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,1982.0,4.11,489.0,43540.0,Master of the Game,9780006472612 Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,Nonfiction,0.9390323758125304,0.0124756218865513,0.0028913400601595,0.0069902776740491,0.0610245876014232,0.0030128145590424,0.0027866060845553,0.002241768175736,0.004598556086421,0.0118190487846732,0.0069530471228063,0.002067721216008,0.0049796919338405,0.1105320826172828,0.0092017594724893,0.0128773422911763,0.0115139232948422,0.2945784628391266,0.0043196277692914,0.0095776738598942,0.0057856966741383,0.0066388226114213,0.0673175603151321,0.017545448616147,0.0018921114969998,0.0606591552495956,0.0485124215483665,0.1817503869533538,Other
9780006482079,0006482074,Warhost of Vastmark,Janny Wurts,Fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",1995.0,4.03,522.0,2966.0,Warhost of Vastmark,"9780006482079 Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",Fiction,0.2066905945539474,0.0023669695947319,0.0044772210530936,0.051023606210947,0.0876947194337844,0.0066237896680831,0.1519937366247177,0.6162864565849304,0.0059633944183588,0.0425423718988895,0.1578873097896576,0.0102051431313157,0.0048302467912435,0.006029091309756,0.0174193233251571,0.0017365763196721,0.0063179284334182,0.0024591381661593,0.0053109633736312,0.003747280454263,0.0160976182669401,0.000779338995926,0.0297749917954206,0.0016541248187422,0.0017021317034959,0.1452909260988235,0.0312946736812591,0.9513002038002014,Literary & Contemporary
9780006483014,0006483011,The Once and Future King,Terence Hanbury White,Arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",1996.0,4.04,823.0,2805.0,The Once and Future King,"9780006483014 An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",Fiction,0.0048032449558377,0.0016822344623506,0.0014763373183086,0.0052402508445084,0.0251363925635814,0.0007780486484989,0.0026022321544587,0.0013251914642751,0.0014449029695242,0.0041308831423521,0.0032357508316636,0.0015903443563729,0.0007435635779984,0.0024106074124574,0.0014455333584919,0.0010753158712759,0.000435098510934,0.0030428157187998,0.0010749947978183,0.0004573900368995,0.0026444671675562,0.0005156341940164,0.0189434457570314,0.0005965306190773,0.0004383661434985,0.0026243352331221,0.0013021792983636,0.9524426460266112,Romance
